code	density	density4
59361	1437.16	2
59363	110.37	3
59364	358.82	2
59365	1068.97	2
59366	86.91	3
59367	4245.66	1
59368	8390.45	1
59369	346.14	2
59370	107.68	3
59371	182.39	3
59372	46.77	3
59374	71.29	3
59375	213.53	3
59377	126.55	3
59378	2851.68	1
59379	122.65	3
59381	172.04	3
59382	126.88	3
59383	1506	1
59384	66.12	3
59385	552.56	2
59386	2315.42	1
59387	258.75	3
59388	293.07	2
59389	253.85	3
59390	572.25	2
59391	142.87	3
59392	1550.36	2
59393	192.29	3
59394	193.21	3
59395	32.49	3
59396	150.26	3
59397	58.07	3
59398	403.11	2
59399	106.13	3
59400	359.08	2
59401	123.07	3
59402	70.05	3
59403	205.85	2
59405	66.3	3
59406	72.69	3
59407	126.11	3
59408	347.32	2
59409	366.91	3
59410	7454.43	1
59411	172.39	2
59412	49.95	3
59413	95.71	3
59414	867.77	2
59415	64.01	3
59416	57.27	3
59418	730.16	3
59419	158.06	3
59420	8.63	4
59421	3199.41	1
59422	121.92	3
59423	220.92	3
59424	1034.02	2
59425	97.72	3
59426	1646.45	1
59427	158.72	2
59428	1658.82	2
59429	579.41	2
59430	87.81	3
59431	446.76	2
59432	118.78	2
59433	88.46	3
59434	235.94	3
59435	136.87	3
59436	46.95	3
59437	359.82	2
59438	166.58	3
59439	43.29	3
59440	134.91	2
59441	120.72	3
59442	50.89	3
59443	66.61	3
59444	191.76	3
59445	101.54	3
59446	272.55	2
59447	675.72	2
59448	117.8	3
59449	784.02	2
59450	36.38	3
59451	169.56	3
59452	769.88	2
59453	73.7	3
59454	112.88	3
59455	134.94	3
59456	674.22	2
59457	2811.92	1
59458	892.48	2
59459	1122.06	1
59461	36.6	3
59462	609.52	2
59463	42.12	3
59464	253.42	3
59465	122.64	3
59466	1322.04	2
59467	214.77	2
59468	110.41	3
59469	128.26	3
59470	411.73	2
59471	326.94	3
59472	211.71	3
59473	60.31	3
59474	45.86	3
59475	498.31	2
59476	503.07	2
59477	1326.81	2
59478	60.78	3
59479	257.48	2
59480	203.73	3
59481	348.28	3
59482	482.01	2
59483	31.8	3
59484	1326.56	2
59485	266.16	2
59486	554.57	2
