pid	code	cm_nat0	cm_nat1	cm_seat
f50cf53be40b06396f31a0ca77f75ed4	59370	1	1	0
e67e7d12e4307d5a3c6b14d469657b04	59370	1	1	0
e0ff6b62ff8e9fb382b5544f4eca1209	59370	1	1	0
54dae7d69a0555886cb66766a979cefb	59370	1	1	0
cadb54c0861d87ac7d2193c38105ed75	59370	1	0	0
6678c6990288bed2ebecd0b73e539410	59370	1	1	0
8e932502f1f9441fb76faf0dfe949d2b	59370	1	1	0
79f9356109c15d4c7b79457bd82e55f7	59370	1	1	0
9776e9071700f58d74993efa2ec72107	59370	1	1	0
3937c04c2f6acb2fa8204976ec319371	59370	1	1	0
360544422c8c7c903abdf01c434b7434	59370	1	1	0
7be1b8caba2743b7fcda73e71866dd77	59370	1	1	0
9e7cc26fc80f515cc28f8524f66ba495	59370	1	1	0
dcaa2fd007a1c82a3a9712643315544f	59370	1	1	0
e72b80ae0ca6868aeba7099ba5307b06	59370	1	1	0
1dfda12cfd2bb2fa4bbeeb6c0ab5deb1	59370	1	1	0
b8fe3bfe595e15ea41cdfcc8c9f4b62c	59370	1	1	0
c875341771984234be1960d7ca111383	59370	1	1	1
9fe7d66af651433859bb9b5e5e275d40	59370	1	1	0
fe61198784956f49273572a527198408	59370	1	1	0
692837fbae7ace6fdaa9f2050d7b7e62	59370	1	1	0
62a93d658d27eb9432aefe27502c1565	59370	1	1	0
d2c3cce4943107789dbbf0a0a9ac5472	59370	1	1	0
e49f440f62a73417e9ab354dd08e109f	59370	1	1	0
4cbc33045b3afbf92d53a0b93858b8c2	59420	1	1	1
38d1544e8f14bb9d10ecc46cb1358aad	59420	1	1	0
fdd031413e1f5892cf9be756869a6269	59420	1	1	0
b38b17bc4cadab23f5f5d3a25bdc8f89	59420	1	1	0
5cb30532b1cf2d135f792a349c28a618	59420	1	1	0
5175c732d64e8ddbdedcea62341a62ac	59420	1	1	0
6639292ddda085d4874c85862c5f92be	59420	1	1	0
390bdc9227594e56dbc0ae7c93830606	59420	1	1	0
5dfa64eda62083ae70a031a7b7a83605	59420	1	1	0
60da71e5f0abe19449224ef1a477ec6c	59420	1	1	0
2ab66ab5e4151a4049b4dc9393cef28b	59420	1	1	0
d57de5bfd41a71c09ce30061363bd6b0	59420	1	1	0
793f1bb0fb2cf3f8f7a99c8bbedfcaae	59420	1	1	0
669894cdcd006df96116c3ca4f8c2b2e	59420	1	1	0
bbab8a55c572e576e90bd3e8e3f03f74	59420	1	1	0
dd4628085b7905fc3ce34fd25c61ddce	59420	1	1	0
e960392568e87bef5f537034172d8d76	59420	1	1	0
c57c6bcd803c709ecc9986d697c839e7	59420	1	1	0
33c36522d7cbe2a4376b977c56f99b1f	59451	1	0	0
39da46abeff13e77cbccd8412b57aaff	59451	1	0	0
0cae5496f76b150f2095d69f1e6708b0	59451	1	1	1
0d80f51347d452dab1a671ab3dcf518a	59451	1	0	0
ad39d396bb6df5d89ed2500da5da272e	59451	1	0	0
70fe28e2dd68d228255f9fb37c5ae67b	59451	1	0	0
111879b913e076f3150b25d3d0af9335	59451	1	0	0
a9c4555d77722332f00388ccd08fa96a	59451	1	0	0
1df2b3a4826eccce81d4aa92b2ada154	59451	1	0	0
5aa56ab40a68a8ffb6617f81e8d83932	59451	1	0	0
81c8507e97d27610c433053190b92b0f	59509	1	0	0
ae2938a97f66af2697044b6aaa67162c	59509	1	1	0
c110c3e28e6f09b1bd9de7a63b31d8e8	59509	1	1	0
0472f7454032adbb649d6dbedca6f6d5	59509	1	1	0
b7bed11e29be0bb0ba6e10f0af71c981	59509	1	1	0
be7c26ed53bcef9a2cbea435ce40e753	59509	1	1	0
981b67e3e9df50f22b094ab9955356dd	59509	1	1	0
285c11ce2e5464d27f74d2f8921eea3e	59509	1	1	0
88d26303c3cf3186369bf50dc71e3702	59509	1	0	0
b37b25b3cc623b24247f8318827445c9	59509	1	1	0
f03af2de4d2504ef7511051b88f792bb	59509	1	1	0
3e1b8ee17895fbfa37ccff19cf3d2d9b	59509	1	0	0
736028762f4a6a91047c3bb3194c0633	59509	1	0	0
9256371fb2cd2cf1d482badcebc43877	59509	1	1	0
24b097ae8bcaed067a189f8912d46d70	59509	1	1	0
f93c3fcc36274b87ea0d07d2183ed29c	59509	1	1	1
873ad5fb95c6cf4088a5af442002b90f	59509	1	1	0
7ff9657b34d01a5d4b3acaff9a18383a	59509	1	1	0
e70453318ed56bf682075f4591eb8f6a	59509	1	0	0
28455a49012ea9d847ab39d08e86d71b	59509	1	1	0
dac28299ef6d856326f22b73c95c343f	59509	1	1	0
93f6276a107f6bf07684d8e4c7db8a72	59509	1	1	0
71fac94d0ab4f83ddb5b58735024a17c	59509	1	1	0
5e2a69772282f688ac06c57453ae9911	59509	1	1	0
e49f16bc0793af6c8fc1f669013f6481	59509	1	1	0
620a01ea224fb1730cf6ca23f0964c64	59509	1	1	0
545821fa84fc2933899705f23e705f69	59509	1	0	0
cbb6e61a459e77fde1c651153de1add2	59509	1	1	0
