city	code	ins	abs
Abancourt	59001	366	56
Abscon	59002	2945	826
Aibes	59003	248	47
Aix	59004	967	154
Allennes-les-Marais	59005	2962	668
Amfroipret	59006	193	51
Anhiers	59007	626	120
Aniche	59008	6807	2216
Anneux	59010	184	33
Annoeullin	59011	7572	2089
Anor	59012	2304	762
Anstaing	59013	1239	251
Anzin	59014	8590	3082
Arleux	59015	2389	565
Armbouts-Cappel	59016	1816	360
Armentières	59017	17383	6095
Arnèke	59018	1116	206
Artres	59019	747	159
Assevent	59021	1245	285
Attiches	59022	1894	412
Aubencheul-au-Bac	59023	417	77
Auberchicourt	59024	3247	873
Aubers	59025	1485	292
Aubigny-au-Bac	59026	885	189
Aubry-du-Hainaut	59027	1248	235
Auby	59028	4879	1274
Auchy-lez-Orchies	59029	1107	233
Audignies	59031	292	64
Aulnoy-lez-Valenciennes	59032	4590	1381
Aulnoye-Aymeries	59033	6591	2216
Avelin	59034	2205	391
Avesnelles	59035	1854	566
Avesnes-le-Sec	59038	1079	238
Avesnes-les-Aubert	59037	2706	729
Avesnes-sur-Helpe	59036	2903	1081
Awoingt	59039	651	133
Bachant	59041	1696	448
Bachy	59042	1341	189
Bailleul	59043	11021	2856
Baisieux	59044	4053	1022
Baives	59045	100	41
Bambecque	59046	580	147
Banteux	59047	262	63
Bantigny	59048	384	75
Bantouzelle	59049	316	94
Bas-Lieu	59050	237	38
Bauvin	59052	4072	1101
Bavay	59053	2285	636
Bavinchove	59054	800	181
Bazuel	59055	421	123
Beaucamps-Ligny	59056	766	135
Beaudignies	59057	442	75
Beaufort	59058	765	195
Beaumont-en-Cambrésis	59059	353	68
Beaurain	59060	189	31
Beaurepaire-sur-Sambre	59061	169	45
Beaurieux	59062	103	16
Beauvois-en-Cambrésis	59063	1528	432
Bellaing	59064	982	212
Bellignies	59065	618	167
Bergues	59067	2879	961
Berlaimont	59068	2340	737
Bermerain	59069	595	107
Bermeries	59070	271	68
Bersillies	59072	178	39
Bersée	59071	1966	378
Berthen	59073	480	82
Bertry	59074	1685	504
Bettignies	59076	211	48
Bettrechies	59077	183	38
Beugnies	59078	452	100
Beuvrages	59079	4525	1415
Beuvry-la-Forêt	59080	2309	531
Bierne	59082	1456	338
Bissezeele	59083	205	38
Blaringhem	59084	1638	368
Blécourt	59085	292	51
Boeschepe	59086	1705	382
Bois-Grenier	59088	1428	315
Bollezeele	59089	990	190
Bondues	59090	8398	1865
Borre	59091	454	80
Bouchain	59092	3157	850
Boulogne-sur-Helpe	59093	226	36
Bourbourg	59094	4927	1424
Bourghelles	59096	1327	263
Boursies	59097	260	50
Bousbecque	59098	3853	1070
Bousies	59099	1260	308
Bousignies	59100	287	76
Bousignies-sur-Roc	59101	214	68
Boussières-en-Cambrésis	59102	329	74
Boussières-sur-Sambre	59103	379	96
Boussois	59104	2080	526
Bouvignies	59105	1272	265
Bouvines	59106	616	108
Boëseghem	59087	599	123
Bray-Dunes	59107	3874	1165
Briastre	59108	522	107
Brillon	59109	627	139
Brouckerque	59110	1172	272
Broxeele	59111	309	72
Bruay-sur-l'Escaut	59112	8237	2674
Bruille-Saint-Amand	59114	1272	340
Bruille-lez-Marchiennes	59113	898	127
Brunémont	59115	517	106
Bry	59116	311	64
Bugnicourt	59117	838	190
Busigny	59118	1779	482
Buysscheure	59119	453	103
Bérelles	59066	118	26
Béthencourt	59075	558	121
Bévillers	59081	452	118
Cagnoncles	59121	508	110
Cambrai	59122	22756	8010
Camphin-en-Carembault	59123	1378	259
Camphin-en-Pévèle	59124	1904	426
Cantaing-sur-Escaut	59125	311	70
Cantin	59126	1209	243
Capelle	59127	133	29
Capinghem	59128	1736	392
Cappelle-Brouck	59130	948	229
