city	code	candidate	n
Abancourt	59001	Le Pen	158
Abancourt	59001	Macron	141
Abscon	59002	Le Pen	1446
Abscon	59002	Macron	582
Aibes	59003	Le Pen	122
Aibes	59003	Macron	66
Aix	59004	Macron	466
Aix	59004	Le Pen	296
Allennes-les-Marais	59005	Macron	1101
Allennes-les-Marais	59005	Le Pen	996
Amfroipret	59006	Le Pen	72
Amfroipret	59006	Macron	59
Anhiers	59007	Le Pen	335
Anhiers	59007	Macron	144
Aniche	59008	Le Pen	2997
Aniche	59008	Macron	1276
Anneux	59010	Macron	69
Anneux	59010	Le Pen	69
Annoeullin	59011	Macron	2644
Annoeullin	59011	Le Pen	2499
Anor	59012	Le Pen	947
Anor	59012	Macron	511
Anstaing	59013	Macron	609
Anstaing	59013	Le Pen	270
Anzin	59014	Le Pen	3241
Anzin	59014	Macron	1884
Arleux	59015	Le Pen	1199
Arleux	59015	Macron	582
Armbouts-Cappel	59016	Le Pen	774
Armbouts-Cappel	59016	Macron	608
Armentières	59017	Macron	5289
Armentières	59017	Le Pen	5039
Arnèke	59018	Le Pen	415
Arnèke	59018	Macron	411
Artres	59019	Le Pen	272
Artres	59019	Macron	268
Assevent	59021	Le Pen	524
Assevent	59021	Macron	332
Attiches	59022	Macron	798
Attiches	59022	Le Pen	593
Aubencheul-au-Bac	59023	Le Pen	201
Aubencheul-au-Bac	59023	Macron	114
Auberchicourt	59024	Le Pen	1394
Auberchicourt	59024	Macron	799
Aubers	59025	Macron	694
Aubers	59025	Le Pen	436
Aubigny-au-Bac	59026	Le Pen	470
Aubigny-au-Bac	59026	Macron	199
Aubry-du-Hainaut	59027	Macron	514
Aubry-du-Hainaut	59027	Le Pen	414
Auby	59028	Le Pen	1972
Auby	59028	Macron	1211
Auchy-lez-Orchies	59029	Macron	483
Auchy-lez-Orchies	59029	Le Pen	325
Audignies	59031	Le Pen	135
Audignies	59031	Macron	69
Aulnoy-lez-Valenciennes	59032	Le Pen	1610
