code	city	border	adjacent
59001	Abancourt	0	0
59002	Abscon	0	0
59003	Aibes	0	1
59004	Aix-en-Pévèle	1	0
59005	Allennes-les-Marais	0	0
59006	Amfroipret	0	0
59007	Anhiers	0	0
59008	Aniche	0	0
59009	Villeneuve-d'Ascq	0	1
59010	Anneux	0	0
59011	Annœullin	0	0
59012	Anor	1	0
59013	Anstaing	0	0
59014	Anzin	0	0
59015	Arleux	0	0
59016	Armbouts-Cappel	0	0
59017	Armentières	1	0
59018	Arnèke	0	0
59019	Artres	0	0
59021	Assevent	0	0
59022	Attiches	0	0
59023	Aubencheul-au-Bac	0	0
59024	Auberchicourt	0	0
59025	Aubers	0	0
59026	Aubigny-au-Bac	0	0
59027	Aubry-du-Hainaut	0	0
59028	Auby	0	0
59029	Auchy-lez-Orchies	0	0
59031	Audignies	0	1
59032	Aulnoy-lez-Valenciennes	0	0
59033	Aulnoye-Aymeries	0	0
59034	Avelin	0	0
59035	Avesnelles	0	0
59036	Avesnes-sur-Helpe	0	0
59037	Avesnes-les-Aubert	0	0
59038	Avesnes-le-Sec	0	0
59039	Awoingt	0	0
59041	Bachant	0	0
59042	Bachy	1	0
59043	Bailleul	1	0
59044	Baisieux	1	0
59045	Baives	1	0
59046	Bambecque	1	0
59047	Banteux	0	0
59048	Bantigny	0	0
59049	Bantouzelle	0	0
59050	Bas-Lieu	0	0
59051	La Bassée	0	0
59052	Bauvin	0	0
59053	Bavay	0	1
59054	Bavinchove	0	0
59055	Bazuel	0	0
59056	Beaucamps-Ligny	0	0
59057	Beaudignies	0	0
59058	Beaufort	0	0
59059	Beaumont-en-Cambrésis	0	0
59060	Beaurain	0	0
59061	Beaurepaire-sur-Sambre	0	0
59062	Beaurieux	1	0
59063	Beauvois-en-Cambrésis	0	0
59064	Bellaing	0	0
59065	Bellignies	0	1
59066	Bérelles	0	1
59067	Bergues	0	0
59068	Berlaimont	0	0
59069	Bermerain	0	0
59070	Bermeries	0	0
59071	Bersée	0	0
59072	Bersillies	0	1
59073	Berthen	0	1
59074	Bertry	0	0
59075	Béthencourt	0	0
59076	Bettignies	1	0
59077	Bettrechies	1	0
59078	Beugnies	0	0
59079	Beuvrages	0	0
59080	Beuvry-la-Forêt	0	0
59081	Bévillers	0	0
59082	Bierne	0	0
59083	Bissezeele	0	0
59084	Blaringhem	0	0
59085	Blécourt	0	0
59086	Boeschepe	1	0
59087	Boëseghem	0	0
59088	Bois-Grenier	0	0
59089	Bollezeele	0	0
59090	Bondues	0	1
59091	Borre	0	0
59092	Bouchain	0	0
59093	Boulogne-sur-Helpe	0	0
59094	Bourbourg	0	0
59096	Bourghelles	0	1
59097	Boursies	0	0
59098	Bousbecque	1	0
59099	Bousies	0	0
59100	Bousignies	0	0
59101	Bousignies-sur-Roc	1	0
59102	Boussières-en-Cambrésis	0	0
59103	Boussières-sur-Sambre	0	0
59104	Boussois	0	1
59105	Bouvignies	0	0
59106	Bouvines	0	0
59107	Bray-Dunes	1	0
59108	Briastre	0	0
59109	Brillon	0	0
59110	Brouckerque	0	0
59111	Broxeele	0	0
59112	Bruay-sur-l'Escaut	0	0
59113	Bruille-lez-Marchiennes	0	0
59114	Bruille-Saint-Amand	0	1
59115	Brunémont	0	0
59116	Bry	1	0
59117	Bugnicourt	0	0
59118	Busigny	0	0
59119	Buysscheure	0	0
59120	Caëstre	0	0
59121	Cagnoncles	0	0
59122	Cambrai	0	0
59123	Camphin-en-Carembault	0	0
59124	Camphin-en-Pévèle	1	0
59125	Cantaing-sur-Escaut	0	0
59126	Cantin	0	0
59127	Capelle	0	0
59128	Capinghem	0	0
59129	Cappelle-en-Pévèle	0	0
59130	Cappelle-Brouck	0	0
59131	Cappelle-la-Grande	0	0
59132	Carnières	0	0
59133	Carnin	0	0
59134	Cartignies	0	0
59135	Cassel	0	1
59136	Le Cateau-Cambrésis	0	0
59137	Catillon-sur-Sambre	0	0
59138	Cattenières	0	0
59139	Caudry	0	0
59140	Caullery	0	0
59141	Cauroir	0	0
59142	Cerfontaine	0	1
59143	La Chapelle-d'Armentières	0	1
59144	Château-l'Abbaye	0	1
59145	Chemy	0	0
59146	Chéreng	0	1
59147	Choisies	0	0
59148	Clairfayts	1	0
59149	Clary	0	0
59150	Cobrieux	0	1
59151	Colleret	1	0
59152	Comines	1	0
59153	Condé-sur-l'Escaut	1	0
59155	Coudekerque-Branche	0	0
59156	Courchelettes	0	0
59157	Cousolre	1	0
59158	Coutiches	0	0
59159	Craywick	0	0
59160	Crespin	1	0
59161	Crèvecœur-sur-l'Escaut	0	0
59162	Crochte	0	0
59163	Croix	0	1
59164	Croix-Caluyau	0	0
59165	Cuincy	0	0
59166	Curgies	0	1
59167	Cuvillers	0	0
59168	Cysoing	0	1
59169	Damousies	0	0
59170	Dechy	0	0
59171	Dehéries	0	0
59172	Denain	0	0
59173	Deûlémont	1	0
59174	Dimechaux	0	0
59175	Dimont	0	0
59176	Doignies	0	0
59177	Dompierre-sur-Helpe	0	0
59178	Douai	0	0
59179	Douchy-les-Mines	0	0
59180	Le Doulieu	0	1
59181	Dourlers	0	0
59182	Drincham	0	0
59183	Dunkerque	0	0
59184	Ebblinghem	0	0
59185	Écaillon	0	0
59186	Eccles	0	0
59187	Éclaibes	0	0
59188	Écuélin	0	0
59189	Eecke	0	1
59190	Élesmes	0	1
59191	Élincourt	0	0
59192	Émerchicourt	0	0
59193	Emmerin	0	0
59194	Englefontaine	0	0
59195	Englos	0	0
59196	Ennetières-en-Weppes	0	0
59197	Ennevelin	0	0
59198	Eppe-Sauvage	1	0
59199	Erchin	0	0
59200	Eringhem	0	0
59201	Erquinghem-le-Sec	0	0
59202	Erquinghem-Lys	0	1
59203	Erre	0	0
59204	Escarmain	0	0
59205	Escaudain	0	0
59206	Escaudœuvres	0	0
59207	Escautpont	0	0
59208	Escobecques	0	0
59209	Esnes	0	0
59210	Esquelbecq	0	0
59211	Esquerchin	0	0
59212	Estaires	0	0
59213	Estourmel	0	0
59214	Estrées	0	0
59215	Estreux	0	1
59216	Eswars	0	0
59217	Eth	1	0
59218	Étrœungt	0	0
59219	Estrun	0	0
59220	Faches-Thumesnil	0	0
59221	Famars	0	0
59222	Faumont	0	0
59223	Le Favril	0	0
59224	Féchain	0	0
59225	Feignies	0	1
59226	Felleries	0	1
59227	Fenain	0	0
59228	Férin	0	0
59229	Féron	0	0
59230	Ferrière-la-Grande	0	0
59231	Ferrière-la-Petite	0	1
59232	La Flamengrie	1	0
59233	Flaumont-Waudrechies	0	0
59234	Flers-en-Escrebieux	0	0
59236	Flesquières	0	0
59237	Flêtre	0	1
59238	Flines-lès-Mortagne	1	0
59239	Flines-lez-Raches	0	0
59240	Floursies	0	0
59241	Floyon	0	0
59242	Fontaine-au-Bois	0	0
59243	Fontaine-au-Pire	0	0
59244	Fontaine-Notre-Dame	0	0
59246	Forest-en-Cambrésis	0	0
59247	Forest-sur-Marque	0	0
59249	Fourmies	0	1
59250	Fournes-en-Weppes	0	0
59251	Frasnoy	0	1
59252	Frelinghien	1	0
59253	Fresnes-sur-Escaut	0	1
59254	Fressain	0	0
59255	Fressies	0	0
59256	Fretin	0	0
59257	Fromelles	0	0
59258	Genech	0	1
59259	Ghissignies	0	0
59260	Ghyvelde	1	0
59261	Glageon	0	0
59262	Godewaersvelde	1	0
59263	Gœulzin	0	0
59264	Gognies-Chaussée	1	0
59265	Gommegnies	0	0
59266	Gondecourt	0	0
59267	Gonnelieu	0	0
59268	La Gorgue	0	0
59269	Gouzeaucourt	0	0
59270	Grand-Fayt	0	0
59271	Grande-Synthe	0	0
59272	Grand-Fort-Philippe	0	0
59273	Gravelines	0	0
59274	La Groise	0	0
59275	Gruson	0	1
59276	Guesnain	0	0
59277	Gussignies	1	0
59278	Hallennes-lez-Haubourdin	0	0
59279	Halluin	1	0
59280	Hamel	0	0
59281	Hantay	0	0
59282	Hardifort	0	0
59283	Hargnies	0	1
59284	Hasnon	0	0
59285	Haspres	0	0
