code	pop	pop_fem	pop_60	pop_bac2	pop_ouvr
59152	12671	51.86	22.47	8.19	14
59153	9396	52.93	26.11	4.67	10.47
59155	20765	53.45	26.33	7.87	15.4
59156	2881	52.7	31.63	7.95	13.13
59157	2169	49.79	29.92	7.05	12.44
59158	3246	49.92	22.06	12.08	13.24
59159	749	49.55	8.86	10.23	14.21
59160	4515	51.74	22.56	5.98	13.49
59161	729	48.01	24.14	10.53	13.13
59162	656	46.83	21.31	13.24	5.34
59163	20778	53	22.7	7.96	11.89
59164	239	49.54	25.27	9.29	10.04
59165	6472	52.51	28.46	9.06	10.29
59166	1347	50.65	25.18	10.4	10.84
59167	197	48.59	34.46	10.73	22.6
59168	4722	52.8	26.6	9.92	11.23
59169	206	48.79	36.23	8.7	7.25
59170	5351	53.47	25.82	5.35	13.55
59171	40	54.76	14.29	9.52	11.9
59172	20640	51.67	19.13	4.16	12.12
59173	1819	50.63	20.73	11.86	13.87
59174	326	50.9	25.94	8.47	18.75
59175	303	47.7	28.48	13.18	13.95
59176	320	47.88	17.53	10.89	14.8
59177	859	51.4	30.16	7.03	7.02
59178	39648	50.89	23.96	6.79	12.49
59179	10207	52.28	23.07	5.67	13.28
59180	1454	50.28	24.48	9.56	9.82
59181	539	50.93	26.65	12.4	11.25
59182	278	49.65	17.5	9.9	12.45
59183	86788	52.43	28.35	7.22	13.61
59184	658	48.33	19.61	9.27	15.2
59185	1910	54.66	28.15	7.15	15.21
59186	88	51.09	35.87	6.52	0
59187	265	51.58	29.98	12.74	16.69
59188	141	47.45	14.6	7.3	7.3
59189	1221	50.24	19.51	11.89	11.04
59190	992	49.71	30.75	10.26	11.25
59191	631	49.37	23.24	5.76	12
59192	822	51.53	31.01	7.96	15.09
59193	3053	52.22	25.97	9.7	12.7
59194	1281	50.91	26.13	8.58	14.95
59195	614	50.09	22.78	12.26	8.2
59196	1293	50.14	30.35	11.17	7.76
59197	2356	50.6	23.65	11.45	8.02
59198	234	47.11	30.24	8.6	11.75
59199	681	48.46	30.52	11.24	13.12
59200	481	47.42	19.51	12.09	12.64
59201	602	49.31	15.3	10.91	6.75
59202	5356	52.03	22.17	10.43	14.72
59203	1574	50.1	21.75	7.89	9.44
59204	480	49.82	25.61	9.79	8.41
59205	9253	53.03	21.69	5.88	13.42
59206	3204	51.68	31.32	8.05	12.67
59207	4152	52.45	23.7	5.43	11.14
59208	303	52.27	31.47	14.16	4.93
59209	674	50.15	27.74	8.17	8.9
59210	2134	49.64	29.02	9.65	10.31
59211	901	53.99	26.41	12.83	17.47
59212	6496	51.57	24.47	8.5	16.93
59213	455	47.93	26.22	10.49	8.69
59214	1116	50.18	28.42	12.94	12.2
59215	952	50.74	29.15	14.08	10.45
59216	356	50.18	32.2	13.01	9.62
59217	341	51.35	28.62	9.55	6.66
59218	1273	50.03	24.27	7.61	12.79
59219	719	50.57	17.4	11.94	11.93
59220	18110	53.05	22.59	8.97	12.45
59221	2475	47.38	24.96	8.47	8.47
59222	2251	51.69	22.95	11.86	9.86
59223	503	48.77	22.79	9.35	11.08
59224	1658	53.3	35.75	7	12.72
59225	6752	50.94	25.03	7.85	13.46
59226	1455	49.59	28.24	9.36	15.83
59227	5529	52.76	23.59	6.28	14.15
59228	1447	49.73	30.19	10.63	11.83
59229	527	48.73	27.03	7.76	9.49
59230	5202	52.07	25.82	7.64	14.4
59231	1062	51.58	25.22	8.55	18.16
59232	435	48.12	25.67	8.59	11.52
59233	351	51.4	23.66	4.2	11.17
59234	5642	51.95	23.89	8.03	15.43
59236	263	50.96	27.97	9.96	11.5
59237	969	50.32	16.42	12.59	14.3
59238	1649	49.94	24.54	10.84	10.35
59239	5610	50.91	24.94	9.4	13.03
59240	127	50.39	27.56	15.75	7.87
59241	512	50.65	22.67	7.95	12.65
59242	695	51.4	26.93	6.53	16.35
59243	1213	51.4	27.51	6.35	14.81
59244	1763	49.6	24.87	9.08	13.05
59246	566	49.39	22.66	6.69	8.4
59247	1659	52.38	30.7	10.39	10.86
59249	11456	53.85	28.77	5.1	11.53
59250	2190	51.41	28.81	11.02	9.42
59251	379	47.32	15.92	11.43	11.96
59252	2581	50.84	25.3	10.64	13.07
59253	7486	50.91	23.76	5.73	13.11
59254	893	51.99	29.03	10.33	9.82
59255	572	46.36	21.74	8.34	15
59256	3227	51.8	23.88	10.17	10.81
59257	1076	49.42	22.23	12.62	10.03
59258	2825	48.24	22.67	11.06	8.05
59259	498	50.82	22.52	10.26	13.89
59260	4119	50.86	26.54	9.56	15.04
59261	1739	49.49	24.03	6.47	12.55
59262	2053	48.09	25.17	9.84	10.53
59263	1042	52.51	31.01	11.71	15.21
59264	727	51.59	29.65	6.4	16.24
59265	2300	49.17	23.9	9.24	16.2
59266	4050	50.93	26.94	11.45	11.2
59267	289	45.96	25.98	9.88	12.45
59268	5599	51.08	24.65	8.53	15.87
59269	1454	50.48	23.4	8.38	9.16
59270	475	48.41	24.04	8.55	15.65
59271	20331	52	20.98	4.91	12.98
59272	4977	51.68	31.01	6.6	13.16
59273	11223	50.16	24.24	8.35	13.88
59274	475	49.8	21.01	9.02	16.18
59275	1237	52.63	31.15	11.1	8.08
59276	4656	52.68	28.69	6.7	13.76
59277	347	48.11	24.95	7.57	8.33
59278	4718	51.9	21.75	10.43	15.68
59279	20829	51.09	20.75	8.05	14.41
59280	775	50.2	32.48	9.18	15.36
59281	1259	52.22	15.47	10.41	16.67
59282	395	49.95	24.38	8.75	13.25
59283	626	48.13	20.15	11.33	12.33
59284	3874	50.04	23.44	9.9	13.49
59285	2642	51.41	27.16	9.02	12.28
59286	14757	53.9	23.44	7.06	16.51
59287	191	49.74	28.5	15.03	18.13
59288	2320	50.69	25.49	6.77	13.52
59289	1492	50.12	28.39	8.77	14.69
59290	386	48.95	28.66	8.51	3.87
59291	14182	51.76	22.13	5.8	12.99
59292	3250	50.93	22.43	6.08	12.4
59293	1401	51.89	29.89	9.73	14.86
59294	307	53.55	20.35	11.15	12.8
59295	21498	53.06	28.9	8.07	13.99
59296	351	48.49	20.63	12.2	8.45
59297	1921	51.24	21.89	9.05	14.39
59299	18713	52.73	24.27	7.7	10.61
59300	549	49.73	28.47	7.69	11.91
59301	4463	50.09	22.49	8.64	9.46
59302	4129	51.14	23.31	7.57	17.7
59303	2323	51	25.51	10.81	10.45
59304	423	51.41	28.19	12.91	10.56
59305	1634	50.61	22.32	10.2	11.98
59306	296	47.24	33.18	6.5	23.99
59307	871	49.45	26.96	6.14	10.64
59308	913	51.3	24.08	11.4	12.46
59309	4026	51.6	25.53	6.61	14.4
59310	866	48.4	24.41	10.44	12.79
59311	576	49.83	15.51	5.61	7.22
59312	734	48.09	32.82	8.66	8.08
59313	1440	51.09	24.73	8.77	15.53
59314	3535	52.89	21.95	7.54	13.35
59315	901	51.12	24.75	9.64	16.25
59316	3275	51.07	27.28	9.66	14.71
59317	7897	52.09	22.32	8.28	16.23
59318	985	49.38	19.3	9.57	14.25
59319	3173	52.44	32.82	9.93	10.11
59320	1664	51.2	17.26	9.93	16.06
59321	635	50.57	31.08	4.35	12.44
59322	3343	51	22.78	7.26	12.16
59323	1159	50.02	24.1	12.86	11.37
59324	10342	51.84	23.25	5.15	14.61
59325	858	49.99	30.27	10.13	9.88
59326	1181	50.6	20.07	7.92	13.04
59327	6250	54.22	29.34	5.44	12.45
59328	27121	52.31	24.46	8.82	9.65
59329	4926	53.29	31.4	9.02	14.84
59330	2447	51.2	26.14	11.38	11.29
59331	3435	51.13	28.51	5.65	12.42
59332	1800	54.99	27.74	8.01	19.05
59333	248	53.24	27.42	6.87	14.08
59334	1582	52.09	30.61	9.54	11.87
59335	3004	50.08	25.7	10.78	11.23
59336	1361	49.04	26.21	7.63	10.63
59337	692	48.47	21.92	10.49	16.02
59338	629	47.95	21.5	12.17	12.13
59339	9588	52.42	29.74	9.61	12.69
59340	4124	52.65	36.43	10	13.14
59341	442	52.21	24.37	8.52	10.37
59342	227	50	33.05	7.2	8.47
59343	9241	50.98	17.23	9.88	12.31
59344	2491	52.94	25.86	6.07	15.75
59345	2403	50.46	27.03	7.61	13.98
59346	3019	52.77	25.89	9.19	11.58
59347	531	49.47	21.47	11.2	10.26
59348	1461	49.84	24.58	9.35	12.62
59349	1901	50.62	21.83	7.81	11.53
59350	236710	51.81	14.44	5.76	12.25
59351	539	48.8	32.15	8.47	12.82
59352	8192	53.07	28.79	10.33	11.28
59353	299	44.09	29.61	10.58	8.35
59354	714	50.3	32.66	12.89	10.47
59356	2182	50.12	31.04	11.28	5.01
59357	2065	50.79	28.79	8.03	9.13
59358	1206	48.47	25.57	11.13	12.73
59359	6039	50.42	24.24	9.07	15.6
59360	23013	52.5	17.05	6.95	14.33
59361	3814	51.53	18.79	4.24	10.71
59363	912	49.15	29.02	9.77	12.15
59364	895	48.97	27.02	9.98	8.94
59365	6357	50.91	21.14	4.41	11.25
59366	778	48.92	19.45	10.07	16.12
59367	13793	51.94	21.2	8.6	15.04
59368	22488	53.85	21.53	8.23	10.95
59369	4004	52.56	28.26	9.85	13.89
59370	699	49.57	33.62	9.59	8.58
59371	628	51.08	26.03	12.5	6.84
59372	476	49.65	31.72	8.9	7.08
59374	469	50.57	25.81	8.2	13.68
59375	4539	50.84	24.95	9.63	13.74
59377	1888	52.12	26.66	7.5	11.68
59378	39356	52.75	25.73	8.31	9.58
59379	762	50.01	16.65	10.57	13.5
59381	808	51.78	25.32	12.88	11.13
59382	1417	51.62	24.34	5.34	10.35
59383	12024	53.83	26.03	7.25	13.64
59384	1441	51.39	30.96	6.93	13.66
59385	2654	51.58	27.8	5.61	12.15
59386	11213	52.6	19.76	8.62	16.92
59387	1931	51.73	23.28	8.11	13.46
59388	1982	51.71	21.73	10.24	13.19
59389	2772	52.05	22.68	6.57	11.97
59390	4056	51.42	26.32	6.72	12.62
59391	889	48.98	28.64	7.53	13.7
59392	29066	51.37	25.83	6.07	11.55
59393	981	48.12	24.54	9.71	14.76
59394	406	48.59	15.42	5.72	14.92
59395	288	49.96	27.03	9.67	7.3
59396	705	48.2	22.86	9.31	8.47
59397	614	49.44	27.74	10.86	14.74
59398	3360	50.12	21.37	10.88	6.58
59399	1049	54.93	26.73	10.5	11.5
59400	9652	50.8	23.62	6.47	13.43
59401	2256	50.18	28.08	10.53	11.22
59402	848	48.65	20.37	9.31	14.88
59403	711	51.74	26.13	10.31	12.73
59405	489	49.51	19.96	8.99	11.23
59406	429	50.35	29.1	11.75	6.89
59407	561	49.14	28.19	10.42	9.23
59408	1703	50.47	22.07	13.57	9.03
59409	2501	50.57	23.58	6.61	13.53
59410	21467	52.4	20.24	6.35	12.73
59411	2089	52.56	30.88	11.15	10.45
59412	274	50.01	32.15	9.06	10.94
59413	554	51.34	32.54	11.04	9.1
59414	4681	53.64	30.98	7.52	12.69
59415	225	48.25	25.88	9.65	15.35
59416	2509	50.23	29.65	9.22	13.06
59418	1584	51.02	19.72	5.96	16.94
59419	1441	49.83	25.33	11.14	11.06
59420	60	46.44	37.8	10.37	8.64
59421	13173	53.62	28.19	9.24	8.07
59422	626	49	24.29	10.86	11.18
