code	pop	pop_fem	pop_60	pop_bac2	pop_ouvr
59657	636	47.68	23.75	11.67	13.93
59658	544	51.91	15.04	10.15	14.38
59659	2821	50.73	30.43	4.88	11.63
59660	2996	50.82	25.11	8.62	10.44
59661	131	51.47	22.79	8.82	18.38
59662	1300	48.8	21.74	11.4	11.79
59663	5705	51.27	28.67	9.12	13.06
59664	327	48.44	16.31	8.72	12.13
59665	301	49.5	14.72	12.01	16.67
59666	1536	50.53	21.01	10.78	12.01
59667	238	50.4	21.43	13.89	7.94
59668	1580	51.71	30.16	7.38	14.99
59669	527	48.47	24.06	10.59	15.26
59670	1412	51.98	24.08	10.81	12.89
