code	pid	mun_r1	mun_r2
59001	344b733307ef31230f373c588e7e17d1	4	4
59001	eb024fd5267f42d86755ee71583726ac	4	4
59002	4cd8653a14ab3e8cd2ccd6f4a3984187	0	NA
59003	6439e08bdeb24257d61f49be2e925846	0	NA
59003	7931cbef016ebeedd89166fc49a5dd1f	1	NA
59003	527fd787f17d35150747aa5e8aeccd19	1	NA
59003	56f039b52fb8e243c714e947306d33e1	1	NA
59003	534ff4beefebdc50698a3641f49b2847	1	NA
59003	6ca9a29f488fd3c3135de3783a8ad907	1	NA
59003	cb56a75f24e23f2497cefa19e900ee9d	0	NA
59003	2289a14f79a5b7e0ab91dda5082eb248	1	NA
59003	df5cefe53e96a3aca4c2744107948480	1	NA
59003	66789aeba2f4b25c5dbdeb7149df86f1	0	NA
59005	44247d71954b9c4464effade8a39389d	1	NA
59005	63824b2ffed61c06a85b3c37e355ab57	1	NA
59005	80023be9ed595fb7b363b1d8a8081f07	1	NA
59005	f311e2d22ecb2c1acdfed933cb3c58fa	1	NA
59006	722e748f52530964489b89e1b6a95309	1	4
59006	9a33b7f46022dd4dd9f042db619c50ae	0	4
59007	366e3df1c737b73f219b5525f96230ac	0	NA
59007	d6f410f50c5d0ca64392d28cd4544a89	0	NA
59007	c8d019e978632502d55bf993bb85dd41	1	NA
59008	787c1898cd74c66ec1f1cbba6e3f908c	0	0
59008	29a95d1a4611d6fbd3231bd9d4d52cfb	0	0
59008	1eb38e7877fac4ff2e90ee9c603b2688	0	0
59008	1776fd5ebe7d1580d47ebb7a876f1817	0	0
59008	e5032379a98d52265460ec404690567b	0	0
59008	ed5a84690288d5f2ce375d28e7c476de	0	0
59008	f3688b62cfa7fd2e3437f708baa69f6a	0	0
59008	cea695e4bbb342aa6c4c15fe7c56027c	1	1
59008	34541c141ea73fd77ae736ba4b08fd2d	0	0
59008	d84ae7eefc7262a15d824a4db7549be2	0	0
59008	d304631e6a53c7f29c3884ff8367c464	1	1
59008	cb2342b481a4bfc487943af309d318e4	0	0
59008	7720be3d0c1b7da2b9b7113a4574dae0	1	1
59008	f0d45386c6840158825208efa674d488	0	0
59009	dd4c65eb97966422bebe57ae825dece1	4	0
59009	0ae9ef7495ffbc82bb3d360fbdf9f433	0	0
59009	366c2f615b1f8b2d226af38ff5decf43	4	0
59009	9f30d30d08f6505290724ad5297f59ef	4	0
59009	3124ff223d4671672be1928bf17b32a9	4	0
59009	04d844338ca7ae78660dc793a77b4cdb	0	0
59009	d947d0710d2d4da91c9881ceb410947a	0	0
59009	fe7ece9ebba70add2f203febafe68103	0	0
59009	4c7f7416245f6c2e46d3c5fc0ec32bc4	4	0
59009	1582acafa4f0e7323c052fd189422042	0	0
59009	bc510c887d1dcd6d46945a2c381519c8	0	0
59009	ccd377f1d92683bc04775e656a624b15	0	0
59009	abd58a38ce9bec1e34826169e6f9fab8	4	1
59009	3a1d9b366cd4c388807f455e65755295	4	0
59009	980548262b96c651fd2a2e41e045d024	1	1
59009	92bd89c49028ca82161609380ab85c63	0	0
59009	4b1c9e94ac97a78dd022b98b57afc635	4	0
59009	2f982071a235d55e8a76f8bfde0dfd77	0	0
59009	9374400a43d60976681dd9bc50513c89	4	1
59009	2355d14225b302204d55ae96ac0c40c5	0	0
59009	ff225932413cbb0c95b42bef9edb0dbf	4	0
59009	9d805dbee772fabc4c87d8f25cb40504	4	0
59009	1ce5031d0d5c1fe092d93c5d1938fb3a	0	0
59009	67cd2205a6f5c55d0f8a0d5dd0af0735	4	0
59009	1674665019c32136e187d6f90e9738e7	4	0
59009	2b16b0ce5734efd29f9cb7827171307e	4	1
59009	22e0db29e032a3e4df3529da3f7c3178	4	0
59009	ebec42bf419601d84e899b8ddebbc584	1	1
59009	6ec9a0765c460c07cf9b3dd79fa93076	0	0
59009	263e6c66b3d009a63e573c8cce01978b	1	1
59009	00eb5a77dbad45d9085e2f1fbc227f8f	0	1
59009	2598bcd91a69a528c933bb3898c7be42	4	0
59009	90dbcc18177e4fa92b7efdb595d0906c	4	0
59009	3cb4acff61899c50f075cf1b47036d53	4	0
59009	89f2638ddbe6396774c66e2f9280bd44	1	0
59009	cbf682888feb38b96eda3c2d46d4c0b7	0	0
59009	2a9dd843a1e43a6f10c92758aff6a86f	0	0
59009	527c25f123ca86fd4bf5da87452e4204	4	1
59009	0cda8088fd32d16b31de8d1833c1c4c2	0	0
59009	ca8380f50dfbcc3fd322a02270a8f68c	0	0
59009	74f2b058b914c5462168fa8b694a9bd0	0	NA
59009	7643a81af9d761c35461c2088b53976b	0	1
59009	3a050323323145a28e091a92062caa1e	4	0
59009	9b318c876e896d2f7e2e689416175d46	4	1
59009	0b3a1cc980b66fddb1f098284a734c4e	0	0
59009	67140e2d83c15e868c3674c7c53b51d5	0	0
59009	d2a89ec6e73669147b98feb9c1b5af4a	0	0
59009	18d70aaa60371336d6e734f6ab3248f5	0	NA
59009	7ce0f23c45337649854a5dea5267f0d9	1	1
59009	52cae98d2294ce978cf698f5901dd2f2	0	1
59009	9f3f89f0350d8a9a20ccb9bbcc76aa03	4	0
59009	90b671fd4e2e70828a060f7cf3802f50	1	1
59009	1bcd04f786d6e8b57c6d2d4d0ae3fef8	0	1
59009	afc56f7fd64f1728fa5120f673bdf001	0	0
59009	2e4fba714927b74dcee670f31c1cf3b3	4	0
59009	ad144e83e01c6aebf845c8ee621acc51	1	1
59009	9999308c5412bf3c492197539c0ce4f8	4	2
59009	e6246faf26ff7eebc87225cb339e731f	1	1
59009	b0fa9764b85507d5d6ce50cf7932ba99	0	0
59009	e7c9f7ad4e397b8bb3066e8efed5a709	1	0
59009	ff1a1218dac698bfcf64b69908193bba	1	1
59009	02d074a9f275f953453a83da82841782	4	NA
59009	bf195f8df9774f838234b47148d67d6e	4	0
59009	a762fe379cf067a78ba09f10ab7bda5b	0	0
59009	bb252f3b706d8fb879fa317f1373481f	1	1
59009	55ced27b1c04f377200fe24680075459	4	1
59009	66ae69881448dcf95ef3bfa235eec968	4	1
59009	9a50fb6f220639dfd7595796531647c3	4	0
59009	7e2075b081228863d9ecd1fcf668e670	4	0
59009	eede81abe650dfbe4bfe325e7adab0c7	0	0
59009	b6f6b347f17eea5d2c6602663434fdcb	0	0
59009	707b2872ac4d1720f735ecda8aea732e	4	1
59009	bb25539b5099efefbc2110db62a5ee9f	0	0
59009	4328b23cc5836b4fd2ca136626be495c	4	0
59009	43c1ceb466acd2b6bc713a739608b5a1	4	0
59009	eedbe90fb160f7be7d1e281f13c2f324	4	0
59009	ac840632e452cf554a5c71000ca4f5fd	1	1
59009	e6b28afc3d376d036ecb38fbc8e22071	4	1
59009	d1c03c490c32ec7b1db8c93f34f12db2	0	0
59009	b86cb7c6052f975b596659126c5e0886	0	0
59009	7ec2afd28246e589d403906e512725fc	4	1
59009	9f808ec3e436bf3e30a39c233bc97f63	4	0
59009	84cef4d6ae6d8a66a47a8dc937d54028	4	1
59009	e2ee81d8b1e476c45b417f7099fcfca8	0	1
59009	d73e11482465ed88e6995ee62838b952	0	0
59009	370834cd5e1b71728882e9804bfd4de6	4	0
59009	80b5e0561a100ae89267f56c5b025c36	4	1
59009	e727e20fad44ecb1f4ac3cd4e28672df	4	0
59009	081b446f92724f35e7dab1b04c1e49c8	1	0
59009	391fbc088d5432f0bfbd4e7ad73e41a6	0	1
59009	ee47f956ad9a9787a04d6e79503552dd	1	1
59009	f3548136170cd2e777cf1a7b31071866	1	0
59009	638c9fbb59309a3e3409a4dd0b9308c7	4	0
59009	b747ca4d38c46f1d7d26a28135b74c3c	1	0
59009	4a2cf71c0efe27581397756d2c957867	0	0
59009	9e2c9978a01865e0a1b1e9ea40a43ffa	4	0
59009	6619da9fc07cdea36c42becd45c257bb	0	0
59009	9945b9dfc6f986f9de532d8a6f1ec438	0	0
59009	d2b040c184bd6a33c05fb0a3652e5e5e	0	0
59009	e6fa6a5a80353f9c159e81c2ebdea6b8	1	1
59009	15efe567ee998f0d7093efbf29cf3a02	0	0
59009	9c09e36b34c3f5afe9aa83e835b2e69b	0	0
59009	e4c74d5133e5c03fbdf7f462bef74c30	4	1
59009	a5fa32d24d48ab598e611cbce6b3bbc1	4	0
59009	b2cb20852b5cd59580fe0ae6f6397ae9	4	1
59009	9754186b7bb9da36b4a08867f23327e7	0	1
59011	91e30d0a06a508a9dd320c5eefb5d6d2	0	NA
59011	83a0956e523cefb4712f4c413b831867	1	NA
59011	5806e5aa0d2c472fbd4303ca22906e74	0	0
59011	ca45f44947942c55cf876f3793071d8e	1	NA
59011	012e222b8d9aec127434b9a1916980d7	0	NA
59011	ba499397e0a92592e40d9fd44c3301eb	1	NA
59011	23cc336a168ada6804fa6a45f09d9084	1	NA
59011	854c32aa2bdd0af4b8d151fc62ffd972	1	NA
59011	3b678f8deca331c8f31858dd5b311465	1	NA
59011	6b234cad94581a1c69e6cf4a8fdc04ff	1	NA
59012	08ac163527ddfbbae506cfb29d20a97a	0	NA
59012	3540cceb25cf5bcf03691c00064961bd	0	NA
59012	55a3a1cacb2ff932b29590e71510b57e	0	NA
59012	2b8ddf2efd16c4ce35a22f89daa3c1d6	0	NA
59012	e397c1e7a70c7b93f574d643ff6fe0cf	0	NA
59012	5621e4ab6f780e92a77bf16fd72855b9	1	NA
59012	448e9afbc8c7221dbe7c92641d2f6bc4	0	NA
59012	131b96a37467a63cf18969c08b9e42b6	1	NA
59012	e3ed3bfac84e70a8cbf5534a873c17ee	0	NA
59012	6b12c599ccb9c33273bd017950ec91e4	1	NA
59012	042f016a1dbe4d72bea650520f95a9b1	0	NA
59012	f92665e385497c881a7186db9104fc0b	0	NA
59012	a5e0edc353ccc41bd19ad256f29b6ed2	1	NA
59012	dd5a9228b289092f775c48436828370f	0	NA
59012	1c4298f24f84338145901b7987ecf65d	0	NA
59012	4d7795da8fb78222c4ec409e7cbe21fa	0	NA
59012	2d38945e5bce0c210cd29e75010025f0	0	NA
59012	2f6c837baed0efc6d3e2620a632eab9c	1	NA
59012	82d781f473b0937254938f261122608e	1	NA
59012	9e744d14f493c9b496678742738c5950	0	NA
59012	8a176bf729990274d6b9f43da02da3bc	0	NA
59012	06411208ff2667c3f343b6b06f9600f2	0	0
59013	ed0e2def68012a7e76c55dc99c6cfdec	0	NA
59013	ecdd64be39e4fc4fcf7c5f94db8e5f5f	1	NA
59013	b63df45312a09ee21037e3d6addeb45b	1	NA
