code	city	n_ins	n_nat	n_eur	n_hu	n_nl	n_it	n_be	n_pt	n_bg	n_cz	n_de	n_dk	n_es	n_fi	n_gr	n_ie	n_pl	n_ro	n_se	n_sk	n_at	n_lu	n_lt	n_cy	n_lv	n_si	n_hr	n_ee
59523	Sainghin-en-Mélantois	2288	2270	18	0	2	2	10	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59524	Sainghin-en-Weppes	4311	4296	15	0	0	0	5	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59525	Sains-du-Nord	1869	1859	10	0	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59526	Saint-Amand-les-Eaux	12911	12734	177	0	0	31	121	6	0	0	5	0	6	0	0	0	1	4	0	0	1	2	0	0	0	0	0	0
59527	Saint-André-lez-Lille	8938	8834	104	0	0	6	15	65	0	1	6	0	5	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0
59528	Saint-Aubert	1198	1196	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59529	Saint-Aubin	249	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59530	Saint-Aybert	242	218	24	0	0	4	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59531	Saint-Benin	224	220	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59532	Saint-Georges-sur-l'Aa	242	242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59533	Saint-Hilaire-lez-Cambrai	1156	1150	6	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59534	Saint-Hilaire-sur-Helpe	563	558	5	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59535	Saint-Jans-Cappel	1299	1280	19	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59536	Sainte-Marie-Cappel	747	746	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59537	Saint-Martin-sur-Écaillon	418	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59538	Saint-Momelin	312	312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59539	Saint-Pierre-Brouck	749	749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59541	Saint-Python	803	797	6	0	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
