city	code	ins	abs
Abancourt	59001	378	93
Abscon	59002	2925	1559
Aibes	59003	260	132
Aix	59004	906	340
Allennes-les-Marais	59005	2910	1383
Amfroipret	59006	182	31
Anhiers	59007	618	305
Aniche	59008	6747	3751
Anneux	59010	198	65
Annoeullin	59011	7415	4563
Anor	59012	2325	1597
Anstaing	59013	1179	741
Anzin	59014	8525	5563
Arleux	59015	2423	958
Armbouts-Cappel	59016	1840	1167
Armentières	59017	17182	10694
Arnèke	59018	1131	539
Artres	59019	736	466
Assevent	59021	1244	616
Attiches	59022	1844	1139
Aubencheul-au-Bac	59023	385	196
Auberchicourt	59024	3176	1867
Aubers	59025	1421	647
Aubigny-au-Bac	59026	842	553
Aubry-du-Hainaut	59027	1201	364
Auby	59028	4975	2430
Auchy-lez-Orchies	59029	1056	708
Audignies	59031	292	157
Aulnoye-Aymeries	59033	6696	4099
Aulnoy-lez-Valenciennes	59032	4581	2785
Avelin	59034	2125	1165
Avesnelles	59035	1900	902
Avesnes-les-Aubert	59037	2638	1069
Avesnes-le-Sec	59038	1070	468
Avesnes-sur-Helpe	59036	3004	1453
Awoingt	59039	635	345
Bachant	59041	1739	821
Bachy	59042	1256	818
Bailleul	59043	10962	5849
Baisieux	59044	3863	2035
Baives	59045	124	40
Bambecque	59046	583	304
Banteux	59047	268	79
Bantigny	59048	382	191
Bantouzelle	59049	308	140
Bas-Lieu	59050	229	98
Bauvin	59052	4026	2002
Bavay	59053	2282	1149
Bavinchove	59054	785	440
Bazuel	59055	431	222
Beaucamps-Ligny	59056	738	243
Beaudignies	59057	435	215
Beaufort	59058	779	467
Beaumont-en-Cambrésis	59059	338	134
Beaurain	59060	177	49
Beaurepaire-sur-Sambre	59061	174	85
Beaurieux	59062	117	31
Beauvois-en-Cambrésis	59063	1513	646
Bellaing	59064	957	561
Bellignies	59065	645	407
Bérelles	59066	134	23
Bergues	59067	2905	1557
Berlaimont	59068	2352	1269
Bermerain	59069	569	273
Bermeries	59070	293	97
Bersée	59071	1915	1051
Bersillies	59072	207	92
Berthen	59073	470	191
Bertry	59074	1683	955
Béthencourt	59075	552	133
Bettignies	59076	226	62
Bettrechies	59077	183	58
Beugnies	59078	461	168
Beuvrages	59079	4613	2694
Beuvry-la-Forêt	59080	2259	1030
Bévillers	59081	459	178
Bierne	59082	1446	574
Bissezeele	59083	193	65
Blaringhem	59084	1636	678
Blécourt	59085	293	128
Boeschepe	59086	1735	737
Boëseghem	59087	591	172
Bois-Grenier	59088	1378	883
Bollezeele	59089	993	557
Bondues	59090	8545	5440
Borre	59091	456	232
Bouchain	59092	3098	1637
Boulogne-sur-Helpe	59093	233	81
Bourbourg	59094	4874	2438
Bourghelles	59096	1303	858
Boursies	59097	257	88
Bousbecque	59098	3819	2286
Bousies	59099	1304	683
Bousignies	59100	274	60
Bousignies-sur-Roc	59101	286	134
Boussières-en-Cambrésis	59102	321	145
Boussières-sur-Sambre	59103	357	177
Boussois	59104	2126	989
Bouvignies	59105	1251	500
Bouvines	59106	592	317
Bray-Dunes	59107	4048	1953
Briastre	59108	509	120
Brillon	59109	624	332
Brouckerque	59110	1160	688
Broxeele	59111	292	97
Bruay-sur-l'Escaut	59112	8032	4635
Bruille-lez-Marchiennes	59113	878	261
Bruille-Saint-Amand	59114	1227	737
Brunémont	59115	514	159
Bry	59116	319	151
Bugnicourt	59117	827	500
Busigny	59118	1814	754
Buysscheure	59119	454	202
Caëstre	59120	1473	945
Cagnoncles	59121	470	220
Cambrai	59122	22980	15016
Camphin-en-Carembault	59123	1334	633
Camphin-en-Pévèle	59124	1837	1304
Cantaing-sur-Escaut	59125	323	172
Cantin	59126	1154	444
Capelle	59127	132	19
Capinghem	59128	1642	827
Cappelle-Brouck	59130	920	591
Cappelle-en-Pévèle	59129	1737	954
Cappelle-la-Grande	59131	6440	2981
Carnières	59132	780	237
Carnin	59133	849	266
Cartignies	59134	840	510
Cassel	59135	1712	783
Catillon-sur-Sambre	59137	605	178
Cattenières	59138	509	169
Caudry	59139	9886	5641
Caullery	59140	366	95
Cauroir	59141	469	250
Cerfontaine	59142	528	303
Château-l'Abbaye	59144	628	211
Chemy	59145	606	179
Chéreng	59146	2427	1553
Choisies	59147	51	13
Clairfayts	59148	252	141
Clary	59149	829	409
Cobrieux	59150	429	229
Colleret	59151	1240	581
Comines	59152	9593	6081
Condé-sur-l'Escaut	59153	6115	3597
Coudekerque-Branche	59155	16257	10592
Courchelettes	59156	2069	1002
Cousolre	59157	1647	729
Coutiches	59158	2292	1150
Craywick	59159	474	111
Crespin	59160	2951	1546
Crèvecoeur-sur-l'Escaut	59161	561	304
Crochte	59162	545	292
Croix	59163	13882	9467
Croix-Caluyau	59164	207	80
Cuincy	59165	4866	2848
Curgies	59166	1070	413
Cuvillers	59167	160	60
Cysoing	59168	3886	1959
Damousies	59169	169	72
Dechy	59170	3556	1981
Dehéries	59171	38	13
Denain	59172	11545	5800
Deûlémont	59173	1461	1003
Dimechaux	59174	242	100
Dimont	59175	229	52
