code	city	pop21
59543	Saint-Remy-du-Nord	1081
59544	Saint-Saulve	11268
59545	Saint-Souplet	1228
59546	Saint-Sylvestre-Cappel	1184
59547	Saint-Vaast-en-Cambrésis	868
59548	Saint-Waast	668
59549	Salesches	332
59550	Salomé	3083
59551	Saméon	1762
59552	Sancourt	200
59553	Santes	5720
59554	Sars-et-Rosières	632
59555	Sars-Poteries	1434
59556	Sassegnies	263
59557	Saultain	2584
59558	Saulzoir	1697
59559	Sebourg	2019
59560	Seclin	12928
59562	Sémeries	540
59563	Semousies	238
59564	La Sentinelle	3159
59565	Sepmeries	660
59566	Sequedin	4800
59567	Séranvillers-Forenville	421
59568	Sercus	492
59569	Sin-le-Noble	15705
59570	Socx	908
59571	Solesmes	4351
59572	Solre-le-Château	1796
59573	Solrinnes	146
59574	Somain	11881
59575	Sommaing	402
59576	Spycker	1788
59577	Staple	697
59578	Steenbecque	1679
59579	Steene	1390
59580	Steenvoorde	4394
59581	Steenwerck	3596
59582	Strazeele	968
59583	Taisnières-en-Thiérache	480
59584	Taisnières-sur-Hon	974
59585	Templemars	3671
59586	Templeuve-en-Pévèle	6803
59587	Terdeghem	530
59588	Téteghem-Coudekerque-Village	8608
59589	Thiant	3036
59590	Thiennes	931
59591	Thivencelle	830
59592	Thumeries	4078
59593	Thun-l'Évêque	777
59594	Thun-Saint-Amand	1123
59595	Thun-Saint-Martin	554
59596	Tilloy-lez-Marchiennes	549
59597	Tilloy-lez-Cambrai	719
59598	Toufflers	3945
59599	Tourcoing	99679
59600	Tourmignies	963
59601	Trélon	2746
59602	Tressin	1434
59603	Trith-Saint-Léger	6210
59604	Troisvilles	817
59605	Uxem	1525
59606	Valenciennes	43467
59607	Vendegies-au-Bois	489
59608	Vendegies-sur-Écaillon	1140
59609	Vendeville	1568
59610	Verchain-Maugré	1111
59611	Verlinghem	2732
59612	Vertain	522
59613	Vicq	1487
59614	Viesly	1396
59615	Vieux-Berquin	2693
59616	Vieux-Condé	10504
59617	Vieux-Mesnil	644
59618	Vieux-Reng	913
59619	Villereau	1072
59620	Villers-au-Tertre	676
59622	Villers-en-Cauchies	1177
59623	Villers-Guislain	684
59624	Villers-Outréaux	2179
59625	Villers-Plouich	394
59626	Villers-Pol	1284
59627	Villers-Sire-Nicole	1016
59628	Volckerinckhove	565
59629	Vred	1334
59630	Wahagnies	2655
59631	Walincourt-Selvigny	2132
59632	Wallers	5634
59633	Wallers-en-Fagne	287
59634	Wallon-Cappel	807
59635	Wambaix	374
59636	Wambrechies	10912
59637	Wandignies-Hamage	1336
59638	Wannehain	1344
59639	Wargnies-le-Grand	1124
59640	Wargnies-le-Petit	791
59641	Warhem	2059
59642	Warlaing	607
59643	Warneton	239
59645	Wasnes-au-Bac	591
59646	Wasquehal	21062
59647	Watten	2599
59648	Wattignies	15735
59649	Wattignies-la-Victoire	246
59650	Wattrelos	41024
59651	Wavrechain-sous-Denain	1627
59652	Wavrechain-sous-Faulx	425
59653	Wavrin	7829
59654	Waziers	7418
59655	Wemaers-Cappel	241
59656	Wervicq-Sud	5349
59657	West-Cappel	646
59658	Wicres	551
59659	Wignehies	2839
59660	Willems	3026
59661	Willies	133
59662	Winnezeele	1331
59663	Wormhout	5790
59664	Wulverdinghe	335
59665	Wylder	307
59666	Zegerscappel	1562
59667	Zermezeele	243
59668	Zuydcoote	1640
59669	Zuytpeene	536
59670	Don	1425
