code	natl	pop24	dens24	pop20	dens20
59350	NLD	105.17	0.0441	91.88	0.0395
59350	POL	124.82	0.0523	138.46	0.0595
59350	PRT	375.34	0.1573	489.15	0.2101
59350	ROU	328.52	0.1377	360.19	0.1547
59351	BEL	NA	NA	NA	NA
59352	BEL	28.65	0.3459	31.92	0.3813
59352	DEU	NA	NA	2	0.0239
59352	ESP	22.11	0.267	23.1	0.2759
59352	ITA	9.95	0.1201	10.94	0.1307
59352	NLD	5.97	0.0721	5.99	0.0715
59352	PRT	31.08	0.3753	33.09	0.3953
59352	ROU	4.09	0.0494	NA	NA
59353	BEL	NA	NA	NA	NA
59354	ROU	NA	NA	NA	NA
59356	BEL	6	0.2694	NA	NA
59356	DEU	4	0.1796	NA	NA
59356	ITA	NA	NA	NA	NA
59356	POL	NA	NA	NA	NA
59356	PRT	4	0.1796	NA	NA
59356	ROU	7	0.3143	NA	NA
59357	BEL	77.28	3.6941	NA	NA
59357	ITA	NA	NA	NA	NA
59357	POL	NA	NA	NA	NA
59357	PRT	7.13	0.3408	NA	NA
59358	BEL	NA	NA	NA	NA
59358	NLD	NA	NA	NA	NA
59359	BEL	4.11	0.0673	5.09	0.0822
59359	DEU	NA	NA	2	0.0323
59359	ITA	7.09	0.1161	9.07	0.1464
59359	NLD	NA	NA	NA	NA
59359	PRT	6.84	0.112	9.84	0.1589
59360	BEL	36.01	0.1547	22.44	0.1009
59360	BGR	NA	NA	NA	NA
59360	DEU	NA	NA	11.57	0.0521
59360	ESP	19.58	0.0841	13.2	0.0594
59360	ITA	33.2	0.1427	41.49	0.1866
59360	NLD	NA	NA	2	0.009
59360	POL	NA	NA	NA	NA
59360	PRT	78.11	0.3357	71.84	0.3231
59360	ROU	4.79	0.0206	17.06	0.0767
59361	BEL	6.15	0.1603	NA	NA
59361	ESP	NA	NA	NA	NA
59361	ITA	15.65	0.4079	NA	NA
59361	PRT	NA	NA	NA	NA
59361	ROU	NA	NA	NA	NA
59363	BEL	5.13	0.5522	NA	NA
59363	ITA	NA	NA	NA	NA
59363	PRT	NA	NA	NA	NA
59364	BEL	4	0.441	NA	NA
59364	DEU	NA	NA	NA	NA
59364	ITA	NA	NA	NA	NA
59365	BEL	22.18	0.3467	23	0.3549
59365	BGR	4.98	0.0778	NA	NA
59365	DEU	NA	NA	2	0.0309
59365	ESP	NA	NA	2	0.0309
59365	ITA	7.12	0.1113	9.05	0.1396
59365	NLD	NA	NA	NA	NA
59365	PRT	7.04	0.1101	9.01	0.139
59365	ROU	10.95	0.1712	NA	NA
59366	PRT	NA	NA	NA	NA
59367	BEL	48.78	0.3502	48.3	0.3599
59367	ESP	10.22	0.0734	2	0.0149
59367	ITA	86.69	0.6224	96.85	0.7216
59367	PRT	121.55	0.8726	118.02	0.8793
59367	ROU	11.14	0.08	NA	NA
59368	BEL	90.76	0.4004	84.31	0.3982
59368	BGR	11.08	0.0489	NA	NA
59368	DEU	20.28	0.0895	20.58	0.0972
59368	ESP	26.83	0.1184	24.04	0.1135
59368	ITA	91.79	0.405	85.17	0.4023
59368	NLD	NA	NA	2	0.0094
59368	POL	NA	NA	2	0.0094
59368	PRT	88.06	0.3885	80.23	0.3789
59368	ROU	17.14	0.0756	21.39	0.101
59369	BEL	9.93	0.2449	NA	NA
59369	ESP	NA	NA	NA	NA
59369	ITA	6.76	0.1667	NA	NA
59369	ROU	4.3	0.1061	NA	NA
59370	BEL	56	7.8873	NA	NA
59370	ESP	NA	NA	NA	NA
59370	ITA	NA	NA	NA	NA
59370	PRT	NA	NA	NA	NA
59371	BEL	3.76	0.5848	NA	NA
59371	ESP	NA	NA	NA	NA
59372	POL	NA	NA	NA	NA
59372	PRT	7.1	1.473	NA	NA
59375	BEL	5.94	0.1291	NA	NA
59375	DEU	NA	NA	NA	NA
59375	ESP	NA	NA	NA	NA
59375	ITA	NA	NA	NA	NA
59375	POL	NA	NA	NA	NA
59375	PRT	NA	NA	NA	NA
59375	ROU	NA	NA	NA	NA
59377	BEL	NA	NA	NA	NA
59377	ITA	NA	NA	NA	NA
59378	BEL	95.41	0.2383	90.29	0.2338
59378	BGR	9.94	0.0248	NA	NA
59378	DEU	26.33	0.0658	26.75	0.0693
59378	ESP	98.05	0.2449	75.84	0.1964
59378	ITA	61.5	0.1536	68.23	0.1767
59378	NLD	10.99	0.0274	10.95	0.0284
59378	POL	25.15	0.0628	27.44	0.0711
59378	PRT	113.27	0.2829	116.38	0.3014
59378	ROU	27.2	0.0679	37.1	0.0961
59379	ITA	NA	NA	NA	NA
59379	ROU	NA	NA	NA	NA
59381	BEL	4	0.4831	NA	NA
59381	ITA	4	0.4831	NA	NA
59382	BEL	NA	NA	NA	NA
59382	DEU	NA	NA	NA	NA
59382	ITA	NA	NA	NA	NA
59382	PRT	21.85	1.528	NA	NA
59383	BEL	17.16	0.1413	32.56	0.2746
59383	DEU	NA	NA	2	0.0169
59383	ESP	NA	NA	2	0.0169
59383	ITA	39.18	0.3226	67.85	0.5723
59383	NLD	NA	NA	2	0.0169
59383	POL	NA	NA	NA	NA
59383	PRT	20.1	0.1655	20.16	0.1701
59383	ROU	9.08	0.0748	NA	NA
59384	BEL	NA	NA	NA	NA
59384	ESP	NA	NA	NA	NA
59384	ITA	NA	NA	NA	NA
59385	BEL	86	3.2138	NA	NA
59385	ESP	NA	NA	NA	NA
59385	ITA	14	0.5232	NA	NA
59385	POL	NA	NA	NA	NA
59385	ROU	NA	NA	NA	NA
59386	BEL	15.88	0.1408	8.65	0.0833
59386	ESP	NA	NA	2	0.0193
59386	ITA	NA	NA	NA	NA
59386	POL	NA	NA	NA	NA
59386	PRT	34.84	0.3089	23.98	0.2311
59386	ROU	NA	NA	NA	NA
59387	BEL	NA	NA	NA	NA
59387	DEU	NA	NA	NA	NA
59387	ESP	NA	NA	NA	NA
59387	ITA	NA	NA	NA	NA
59387	PRT	NA	NA	NA	NA
59388	BEL	NA	NA	NA	NA
59388	PRT	NA	NA	NA	NA
59389	BEL	NA	NA	NA	NA
59389	ESP	NA	NA	NA	NA
59389	ITA	NA	NA	NA	NA
59389	POL	NA	NA	NA	NA
59389	PRT	11.94	0.4263	NA	NA
59390	BEL	NA	NA	NA	NA
59390	DEU	NA	NA	NA	NA
59390	ESP	NA	NA	NA	NA
59390	ITA	32.47	0.7952	NA	NA
59390	POL	NA	NA	NA	NA
59390	PRT	NA	NA	NA	NA
59390	ROU	8.41	0.206	NA	NA
59391	ITA	NA	NA	NA	NA
59391	PRT	NA	NA	NA	NA
59392	BEL	287.49	0.9797	337.02	1.1255
59392	DEU	NA	NA	2	0.0067
59392	ESP	20.61	0.0702	24.97	0.0834
59392	ITA	91.29	0.3111	115.53	0.3858
59392	NLD	NA	NA	13.46	0.045
59392	POL	13.3	0.0453	NA	NA
59392	PRT	41.81	0.1425	43.22	0.1443
59392	ROU	42.5	0.1448	NA	NA
59393	BEL	32.94	3.3139	NA	NA
59393	ESP	NA	NA	NA	NA
59393	ITA	NA	NA	NA	NA
59393	PRT	NA	NA	NA	NA
59395	BEL	NA	NA	NA	NA
59396	BEL	25.56	3.5698	NA	NA
59396	ITA	NA	NA	NA	NA
59397	BEL	NA	NA	NA	NA
59398	BEL	7.24	0.2069	NA	NA
59398	BGR	NA	NA	NA	NA
59398	DEU	NA	NA	NA	NA
59398	ITA	NA	NA	NA	NA
59398	NLD	NA	NA	NA	NA
59398	POL	NA	NA	NA	NA
59398	PRT	NA	NA	NA	NA
59399	BEL	NA	NA	NA	NA
59399	ITA	NA	NA	NA	NA
59400	BEL	10.22	0.1049	10.1	0.1039
59400	BGR	NA	NA	NA	NA
59400	ESP	NA	NA	NA	NA
59400	ITA	NA	NA	NA	NA
59400	PRT	3.97	0.0408	5.97	0.0614
59401	BEL	6.96	0.3043	NA	NA
59401	DEU	NA	NA	NA	NA
59401	ITA	NA	NA	NA	NA
59401	PRT	NA	NA	NA	NA
59401	ROU	NA	NA	NA	NA
59403	BEL	3.8	0.5292	NA	NA
59403	DEU	NA	NA	NA	NA
59403	PRT	NA	NA	NA	NA
59403	ROU	NA	NA	NA	NA
59405	BEL	NA	NA	NA	NA
59405	POL	NA	NA	NA	NA
59407	BEL	NA	NA	NA	NA
59408	BEL	NA	NA	NA	NA
59408	DEU	NA	NA	NA	NA
59408	ITA	NA	NA	NA	NA
59409	BEL	NA	NA	NA	NA
59409	ITA	NA	NA	NA	NA
59409	POL	NA	NA	NA	NA
59409	PRT	NA	NA	NA	NA
59410	BEL	38.15	0.1766	32.8	0.1578
59410	BGR	NA	NA	NA	NA
59410	DEU	NA	NA	2	0.0096
59410	ESP	14.13	0.0654	2	0.0096
59410	ITA	28.28	0.1309	39.55	0.1903
59410	NLD	NA	NA	5.57	0.0268
59410	POL	11.37	0.0526	13.23	0.0637
59410	PRT	38.52	0.1783	51.47	0.2477
