code	natl	n0	n1	sex_m	sex_f	age_15	age_60	res_19	res_20	edu_lo	edu_hi	occ_else	occ_empl
59365	DEU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59365	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59365	ITA	7.12	7.12	NA	NA	NA	NA	NA	NA	7.12	NA	NA	NA
59365	NLD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59365	PRT	7.04	7.04	NA	NA	NA	NA	NA	NA	7.04	NA	NA	NA
59365	ROU	10.95	10.95	4.99	5.97	10.95	NA	10.95	NA	NA	NA	NA	NA
59366	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59367	BEL	48.78	48.78	22.03	26.75	33.92	14.86	28.22	20.57	37.79	10.99	21	15
59367	ESP	10.22	10.22	NA	NA	NA	NA	NA	NA	10.22	NA	NA	NA
59367	ITA	86.69	86.69	52.36	34.33	44.38	42.31	17.78	68.91	NA	NA	NA	32
59367	Other EU	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59367	PRT	121.55	121.55	73.96	47.6	83.64	37.91	35.92	85.64	106.52	15.03	20.45	55.76
59367	ROU	11.14	11.14	NA	NA	11.14	NA	11.14	NA	NA	11.14	7.5	NA
59368	BEL	90.76	90.76	43.27	47.5	72.94	17.82	63.94	26.82	27.13	63.63	41.98	25.31
59368	BGR	11.08	11.08	11.08	NA	11.08	NA	11.08	NA	NA	NA	NA	NA
59368	DEU	20.28	20.28	NA	NA	20.28	NA	NA	NA	NA	20.28	13.95	NA
59368	ESP	26.83	26.83	10.12	16.71	26.83	NA	26.83	NA	NA	NA	25.64	NA
59368	ITA	91.79	91.79	50.69	41.1	69.35	22.44	72.63	19.16	46.72	45.07	31.47	35.1
59368	NLD	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59368	Other EU	15.22	15.22	NA	NA	15.22	NA	NA	NA	NA	15.22	8.93	NA
59368	POL	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59368	PRT	88.06	88.06	48.37	39.69	61.85	26.21	28.14	59.92	76.36	11.7	11.9	54.45
59368	ROU	17.14	17.14	NA	NA	17.14	NA	NA	NA	NA	17.14	NA	NA
59369	BEL	9.93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59369	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59369	ITA	6.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59369	Other EU	4.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59369	ROU	4.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59370	BEL	56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59370	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59370	ITA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59370	PRT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59371	BEL	3.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
59371	ESP	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
